training episode 276 of 300 complete,  explore val = 0.01, episode reward = 155.0
training episode 277 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 278 of 300 complete,  explore val = 0.01, episode reward = 186.0
training episode 279 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 280 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 281 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 282 of 300 complete,  explore val = 0.01, episode reward = 66.0
training episode 283 of 300 complete,  explore val = 0.01, episode reward = 161.0
training episode 284 of 300 complete,  explore val = 0.01, episode reward = 172.0
training episode 285 of 300 complete,  explore val = 0.01, episode reward = 124.0
training episode 286 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 287 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 288 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 289 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 290 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 291 of 300 complete,  explore val = 0.01, episode reward = 88.0
training episode 292 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 293 of 300 complete,  explore val = 0.01, episode reward = 417.0
training episode 294 of 300 complete,  explore val = 0.01, episode reward = 198.0
training episode 295 of 300 complete,  explore val = 0.01, episode reward = 93.0
training episode 296 of 300 complete,  explore val = 0.01, episode reward = 153.0
training episode 297 of 300 complete,  explore val = 0.01, episode reward = 319.0
training episode 298 of 300 complete,  explore val = 0.01, episode reward = 129.0
training episode 299 of 300 complete,  explore val = 0.01, episode reward = 155.0
training episode 300 of 300 complete,  explore val = 0.01, episode reward = 489.0
q-learning algorithm complete
