training episode 325 of 1000 complete,  explore val = 0.01, episode reward = 143.0
training episode 326 of 1000 complete,  explore val = 0.01, episode reward = 145.0
training episode 327 of 1000 complete,  explore val = 0.01, episode reward = 256.0
training episode 328 of 1000 complete,  explore val = 0.01, episode reward = 385.0
training episode 329 of 1000 complete,  explore val = 0.01, episode reward = 162.0
training episode 330 of 1000 complete,  explore val = 0.01, episode reward = 331.0
training episode 331 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 332 of 1000 complete,  explore val = 0.01, episode reward = 124.0
training episode 333 of 1000 complete,  explore val = 0.01, episode reward = 59.0
training episode 334 of 1000 complete,  explore val = 0.01, episode reward = 111.0
training episode 335 of 1000 complete,  explore val = 0.01, episode reward = 50.0
training episode 336 of 1000 complete,  explore val = 0.01, episode reward = 132.0
training episode 337 of 1000 complete,  explore val = 0.01, episode reward = 249.0
training episode 338 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 339 of 1000 complete,  explore val = 0.01, episode reward = 152.0
training episode 340 of 1000 complete,  explore val = 0.01, episode reward = 293.0
training episode 341 of 1000 complete,  explore val = 0.01, episode reward = 116.0
training episode 342 of 1000 complete,  explore val = 0.01, episode reward = 98.0
training episode 343 of 1000 complete,  explore val = 0.01, episode reward = 103.0
training episode 344 of 1000 complete,  explore val = 0.01, episode reward = 120.0
training episode 345 of 1000 complete,  explore val = 0.01, episode reward = 101.0
training episode 346 of 1000 complete,  explore val = 0.01, episode reward = 132.0
training episode 347 of 1000 complete,  explore val = 0.01, episode reward = 95.0
training episode 348 of 1000 complete,  explore val = 0.01, episode reward = 92.0
training episode 349 of 1000 complete,  explore val = 0.01, episode reward = 104.0
training episode 350 of 1000 complete,  explore val = 0.01, episode reward = 40.0
training episode 351 of 1000 complete,  explore val = 0.01, episode reward = 66.0
training episode 352 of 1000 complete,  explore val = 0.01, episode reward = 124.0
training episode 353 of 1000 complete,  explore val = 0.01, episode reward = 97.0
training episode 354 of 1000 complete,  explore val = 0.01, episode reward = 19.0
training episode 355 of 1000 complete,  explore val = 0.01, episode reward = 50.0
training episode 356 of 1000 complete,  explore val = 0.01, episode reward = 26.0
training episode 357 of 1000 complete,  explore val = 0.01, episode reward = 22.0
training episode 358 of 1000 complete,  explore val = 0.01, episode reward = 20.0
training episode 359 of 1000 complete,  explore val = 0.01, episode reward = 99.0
training episode 360 of 1000 complete,  explore val = 0.01, episode reward = 203.0
training episode 361 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 362 of 1000 complete,  explore val = 0.01, episode reward = 88.0
training episode 363 of 1000 complete,  explore val = 0.01, episode reward = 204.0
training episode 364 of 1000 complete,  explore val = 0.01, episode reward = 242.0
training episode 365 of 1000 complete,  explore val = 0.01, episode reward = 113.0
training episode 366 of 1000 complete,  explore val = 0.01, episode reward = 121.0
training episode 367 of 1000 complete,  explore val = 0.01, episode reward = 206.0
training episode 368 of 1000 complete,  explore val = 0.01, episode reward = 112.0
training episode 369 of 1000 complete,  explore val = 0.01, episode reward = 132.0
training episode 370 of 1000 complete,  explore val = 0.01, episode reward = 144.0
training episode 371 of 1000 complete,  explore val = 0.01, episode reward = 262.0
training episode 372 of 1000 complete,  explore val = 0.01, episode reward = 124.0
training episode 373 of 1000 complete,  explore val = 0.01, episode reward = 129.0
training episode 374 of 1000 complete,  explore val = 0.01, episode reward = 125.0
training episode 375 of 1000 complete,  explore val = 0.01, episode reward = 144.0
training episode 376 of 1000 complete,  explore val = 0.01, episode reward = 420.0
training episode 377 of 1000 complete,  explore val = 0.01, episode reward = 110.0
training episode 378 of 1000 complete,  explore val = 0.01, episode reward = 120.0
training episode 379 of 1000 complete,  explore val = 0.01, episode reward = 122.0
training episode 380 of 1000 complete,  explore val = 0.01, episode reward = 115.0
training episode 381 of 1000 complete,  explore val = 0.01, episode reward = 211.0
training episode 382 of 1000 complete,  explore val = 0.01, episode reward = 172.0
training episode 383 of 1000 complete,  explore val = 0.01, episode reward = 109.0
training episode 384 of 1000 complete,  explore val = 0.01, episode reward = 36.0
training episode 385 of 1000 complete,  explore val = 0.01, episode reward = 23.0
training episode 386 of 1000 complete,  explore val = 0.01, episode reward = 27.0
training episode 387 of 1000 complete,  explore val = 0.01, episode reward = 33.0
training episode 388 of 1000 complete,  explore val = 0.01, episode reward = 111.0
training episode 389 of 1000 complete,  explore val = 0.01, episode reward = 290.0
training episode 390 of 1000 complete,  explore val = 0.01, episode reward = 113.0
training episode 391 of 1000 complete,  explore val = 0.01, episode reward = 246.0
training episode 392 of 1000 complete,  explore val = 0.01, episode reward = 320.0
training episode 393 of 1000 complete,  explore val = 0.01, episode reward = 373.0
training episode 394 of 1000 complete,  explore val = 0.01, episode reward = 112.0
training episode 395 of 1000 complete,  explore val = 0.01, episode reward = 110.0
training episode 396 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 397 of 1000 complete,  explore val = 0.01, episode reward = 269.0
training episode 398 of 1000 complete,  explore val = 0.01, episode reward = 126.0
training episode 399 of 1000 complete,  explore val = 0.01, episode reward = 119.0
training episode 400 of 1000 complete,  explore val = 0.01, episode reward = 115.0
training episode 401 of 1000 complete,  explore val = 0.01, episode reward = 126.0
training episode 402 of 1000 complete,  explore val = 0.01, episode reward = 237.0
training episode 403 of 1000 complete,  explore val = 0.01, episode reward = 191.0
training episode 404 of 1000 complete,  explore val = 0.01, episode reward = 169.0
training episode 405 of 1000 complete,  explore val = 0.01, episode reward = 174.0
training episode 406 of 1000 complete,  explore val = 0.01, episode reward = 197.0
