episode 244 of 1000 complete,  explore val = 0.01, episode reward = 257.0, ave reward = 73.7
episode 245 of 1000 complete,  explore val = 0.01, episode reward = 94.0, ave reward = 74.1
episode 246 of 1000 complete,  explore val = 0.01, episode reward = 60.0, ave reward = 74.2
episode 247 of 1000 complete,  explore val = 0.01, episode reward = 193.0, ave reward = 75.8
episode 248 of 1000 complete,  explore val = 0.01, episode reward = 45.0, ave reward = 76.0
episode 249 of 1000 complete,  explore val = 0.01, episode reward = 83.0, ave reward = 76.6
episode 250 of 1000 complete,  explore val = 0.01, episode reward = 86.0, ave reward = 77.0
episode 251 of 1000 complete,  explore val = 0.01, episode reward = 75.0, ave reward = 76.3
episode 252 of 1000 complete,  explore val = 0.01, episode reward = 162.0, ave reward = 77.6
episode 253 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 77.7
episode 254 of 1000 complete,  explore val = 0.01, episode reward = 45.0, ave reward = 77.8
episode 255 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 78.0
episode 256 of 1000 complete,  explore val = 0.01, episode reward = 108.0, ave reward = 78.8
episode 257 of 1000 complete,  explore val = 0.01, episode reward = 132.0, ave reward = 78.2
episode 258 of 1000 complete,  explore val = 0.01, episode reward = 107.0, ave reward = 78.8
episode 259 of 1000 complete,  explore val = 0.01, episode reward = 68.0, ave reward = 79.3
episode 260 of 1000 complete,  explore val = 0.01, episode reward = 187.0, ave reward = 80.7
episode 261 of 1000 complete,  explore val = 0.01, episode reward = 228.0, ave reward = 82.7
episode 262 of 1000 complete,  explore val = 0.01, episode reward = 101.0, ave reward = 83.4
episode 263 of 1000 complete,  explore val = 0.01, episode reward = 291.0, ave reward = 85.8
episode 264 of 1000 complete,  explore val = 0.01, episode reward = 416.0, ave reward = 89.6
episode 265 of 1000 complete,  explore val = 0.01, episode reward = 154.0, ave reward = 90.5
episode 266 of 1000 complete,  explore val = 0.01, episode reward = 301.0, ave reward = 93.2
episode 267 of 1000 complete,  explore val = 0.01, episode reward = 109.0, ave reward = 94.0
episode 268 of 1000 complete,  explore val = 0.01, episode reward = 86.0, ave reward = 94.5
episode 269 of 1000 complete,  explore val = 0.01, episode reward = 76.0, ave reward = 94.5
episode 270 of 1000 complete,  explore val = 0.01, episode reward = 130.0, ave reward = 95.1
episode 271 of 1000 complete,  explore val = 0.01, episode reward = 55.0, ave reward = 95.2
episode 272 of 1000 complete,  explore val = 0.01, episode reward = 65.0, ave reward = 95.2
episode 273 of 1000 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 95.4
episode 274 of 1000 complete,  explore val = 0.01, episode reward = 53.0, ave reward = 95.6
episode 275 of 1000 complete,  explore val = 0.01, episode reward = 60.0, ave reward = 94.7
episode 276 of 1000 complete,  explore val = 0.01, episode reward = 116.0, ave reward = 92.8
episode 277 of 1000 complete,  explore val = 0.01, episode reward = 81.0, ave reward = 93.0
episode 278 of 1000 complete,  explore val = 0.01, episode reward = 84.0, ave reward = 93.2
episode 279 of 1000 complete,  explore val = 0.01, episode reward = 79.0, ave reward = 93.2
episode 280 of 1000 complete,  explore val = 0.01, episode reward = 80.0, ave reward = 93.7
episode 281 of 1000 complete,  explore val = 0.01, episode reward = 119.0, ave reward = 94.5
episode 282 of 1000 complete,  explore val = 0.01, episode reward = 92.0, ave reward = 95.0
episode 283 of 1000 complete,  explore val = 0.01, episode reward = 69.0, ave reward = 94.9
episode 284 of 1000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 94.3
episode 285 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 94.4
episode 286 of 1000 complete,  explore val = 0.01, episode reward = 58.0, ave reward = 94.7
episode 287 of 1000 complete,  explore val = 0.01, episode reward = 71.0, ave reward = 91.6
episode 288 of 1000 complete,  explore val = 0.01, episode reward = 77.0, ave reward = 91.5
episode 289 of 1000 complete,  explore val = 0.01, episode reward = 85.0, ave reward = 91.6
episode 290 of 1000 complete,  explore val = 0.01, episode reward = 63.0, ave reward = 91.6
episode 291 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 91.3
episode 292 of 1000 complete,  explore val = 0.01, episode reward = 49.0, ave reward = 91.4
episode 293 of 1000 complete,  explore val = 0.01, episode reward = 53.0, ave reward = 91.3
episode 294 of 1000 complete,  explore val = 0.01, episode reward = 33.0, ave reward = 91.3
episode 295 of 1000 complete,  explore val = 0.01, episode reward = 41.0, ave reward = 90.7
episode 296 of 1000 complete,  explore val = 0.01, episode reward = 94.0, ave reward = 91.2
episode 297 of 1000 complete,  explore val = 0.01, episode reward = 80.0, ave reward = 91.5
episode 298 of 1000 complete,  explore val = 0.01, episode reward = 434.0, ave reward = 95.4
episode 299 of 1000 complete,  explore val = 0.01, episode reward = 112.0, ave reward = 96.0
episode 300 of 1000 complete,  explore val = 0.01, episode reward = 125.0, ave reward = 96.3
episode 301 of 1000 complete,  explore val = 0.01, episode reward = 105.0, ave reward = 97.0
episode 302 of 1000 complete,  explore val = 0.01, episode reward = 77.0, ave reward = 96.4
episode 303 of 1000 complete,  explore val = 0.01, episode reward = 48.0, ave reward = 96.4
episode 304 of 1000 complete,  explore val = 0.01, episode reward = 96.0, ave reward = 96.7
episode 305 of 1000 complete,  explore val = 0.01, episode reward = 191.0, ave reward = 98.3
episode 306 of 1000 complete,  explore val = 0.01, episode reward = 79.0, ave reward = 98.5
episode 307 of 1000 complete,  explore val = 0.01, episode reward = 358.0, ave reward = 101.4
episode 308 of 1000 complete,  explore val = 0.01, episode reward = 96.0, ave reward = 101.6
episode 309 of 1000 complete,  explore val = 0.01, episode reward = 81.0, ave reward = 102.0
episode 310 of 1000 complete,  explore val = 0.01, episode reward = 256.0, ave reward = 104.2
episode 311 of 1000 complete,  explore val = 0.01, episode reward = 74.0, ave reward = 104.6
episode 312 of 1000 complete,  explore val = 0.01, episode reward = 56.0, ave reward = 104.6
episode 313 of 1000 complete,  explore val = 0.01, episode reward = 437.0, ave reward = 108.5
episode 314 of 1000 complete,  explore val = 0.01, episode reward = 397.0, ave reward = 112.1
episode 315 of 1000 complete,  explore val = 0.01, episode reward = 302.0, ave reward = 112.4
episode 316 of 1000 complete,  explore val = 0.01, episode reward = 75.0, ave reward = 112.6
episode 317 of 1000 complete,  explore val = 0.01, episode reward = 109.0, ave reward = 112.9
episode 318 of 1000 complete,  explore val = 0.01, episode reward = 63.0, ave reward = 113.0
episode 319 of 1000 complete,  explore val = 0.01, episode reward = 52.0, ave reward = 113.2
episode 320 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 113.1
episode 321 of 1000 complete,  explore val = 0.01, episode reward = 123.0, ave reward = 113.8
episode 322 of 1000 complete,  explore val = 0.01, episode reward = 77.0, ave reward = 113.8
episode 323 of 1000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 113.6
episode 324 of 1000 complete,  explore val = 0.01, episode reward = 54.0, ave reward = 113.7
episode 325 of 1000 complete,  explore val = 0.01, episode reward = 52.0, ave reward = 113.8
